party_rk,date_time,story_id,category,event
64266,2019-12-01 13:05:31,3840,39,like
55721,2019-12-01 13:18:08,3857,39,like
27563,2019-12-01 13:25:40,3174,78,like
61223,2019-12-01 13:25:20,3857,39,like
61223,2019-12-01 13:29:05,3765,73,like
87324,2019-12-27 10:27:11,2319,81,like
64971,2019-12-27 11:06:13,4075,44,like
43081,2019-12-21 10:46:12,4018,81,like
53923,2019-12-01 13:12:56,3116,16,like
48382,2019-12-10 12:06:47,3840,39,like
85548,2019-12-01 13:27:43,3846,39,like
78406,2019-12-01 13:31:59,3846,39,like
60388,2019-12-01 13:36:04,3840,39,favorite
46954,2019-12-01 14:08:50,3840,39,like
87324,2019-12-21 13:43:55,4009,39,like
61223,2019-12-01 13:27:28,2930,68,like
46954,2019-12-01 14:09:20,3857,39,like
70871,2019-12-01 14:03:41,3846,39,like
49196,2019-12-01 14:16:29,2492,15,favorite
24661,2019-12-01 14:15:41,2930,68,like
20059,2019-12-01 14:24:25,3840,39,like
61592,2019-12-01 14:36:03,3840,39,like
74596,2019-12-01 14:38:45,3840,39,like
77184,2019-12-01 14:40:48,3857,39,like
78941,2019-12-01 14:41:01,3857,39,like
52998,2019-12-01 15:00:26,3846,39,like
88304,2019-12-01 15:19:57,3857,39,like
49855,2019-12-01 15:43:56,3857,39,like
17137,2019-12-01 16:08:50,3840,39,like
27508,2019-12-01 16:05:19,3857,39,like
44544,2019-12-01 16:03:12,3857,39,like
17137,2019-12-01 16:08:43,3857,39,like
88246,2019-12-01 16:12:27,3840,39,favorite
64971,2019-12-27 11:06:19,4075,44,favorite
11221,2019-12-27 11:54:41,4084,39,like
12262,2019-12-21 12:11:29,4009,39,like
49165,2019-12-21 12:39:12,4010,39,favorite
50803,2019-12-21 12:39:11,3943,71,like
83114,2019-12-10 11:43:27,3930,16,like
52173,2019-12-10 11:55:13,3921,16,like
45811,2019-12-18 05:58:06,3978,81,dislike
9552,2019-12-18 09:04:57,3978,81,like
70088,2019-12-21 11:22:38,3945,81,like
8009,2019-12-01 15:22:47,3840,39,favorite
38486,2019-12-01 15:33:40,3840,39,favorite
7361,2019-12-01 15:40:58,3846,39,like
45697,2019-12-01 15:41:55,3840,39,favorite
91111,2019-12-01 16:39:01,3840,39,like
11755,2019-12-21 08:15:21,3978,81,dislike
24581,2019-12-21 10:31:13,4004,39,like
2010,2019-12-21 10:37:19,3978,81,dislike
87324,2019-12-21 10:42:51,4021,15,like
70088,2019-12-21 11:22:04,3930,16,dislike
43368,2019-12-02 18:23:34,3840,39,like
8049,2019-12-02 18:33:44,3837,51,favorite
87212,2019-12-01 10:40:21,3840,39,like
